A.F.M.,Stoixeia Ofeileti,Dieythynsi Edras,"T.K., Perioxi","Basiki ofeili D.O.Y.,Elegktika Kentra",Basiki ofeili Teloneion,Syneisprattomena Dimosiou,Synolo Dimosiou,Basiki ofeili e-E.F.K.A.,Syneisprattomena e-E.F.K.A.,Synolo e-E.F.K.A.,Paratiriseis,Syntetagmenes
94461154,ΜΑΡΑΘΟΣ ΑΒΕΕ ΠΛΑΣΤΙΚΩΝ,ΜΑΥΡΟΜΑΤΑΙΩΝ 15,10434 ΑΘΗΝΑ,-,-,-,-,"155.945,01","143.414,95","299.359,96",.,"(37.9922921, 23.7321142)"
801074314,ΕΣΤΙΑΣΗ ΜΑΤΙΝΑ ΤΟΡΒΑ ΜΟΝΟΠΡΟΣΩ,ΠΕΤΡΟΥ ΡΑΛΛΗ ΚΑΙ ΘΗΣΕΩΝ 1 210,18454 ΝΙΚΑΙΑ,-,-,-,-,"253.963,19","45.358,91","299.322,10",.,"(37.9718774, 23.6556775)"
800395401,ΧΡΙΣΤΟΠΟΥΛΟΥ ΚΛΕΟΠΑΤΡΑ ΣΙΑ ΕΕ,ΜΕΓΑ ΣΠΗΛΑΙΟΥ 15,26334 ΠΑΤΡΑ,"202.802,54",-,"96.502,85","299.305,39",-,-,-,.,"(38.223562, 21.7456454)"
94266011,ΑΚΕΡ ΑΝΩΝΥΜΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗ ΕΡΓΟΛΑΒΙΚΗ ΑΓΡΟΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΡΙΣΤΟΔΗΜΟΥ 80,24100 ΚΑΛΑΜΑΤΑ,"202.963,71",-,"96.320,49","299.284,20",-,-,-,.,"(37.0357443, 22.1115342)"
94448445,ΓΙΑΤΑ ΑΒΕΕ ΑΝΩΝΥΜΟΣ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ ΠΡΟΙΟΝΤΩΝ ΞΥΛΟΥ,ΣΚΡΑ 4,17673 ΚΑΛΛΙΘΕΑ,"168.456,64",-,"130.715,68","299.172,32",-,-,-,.,"(37.9486808, 23.7050595)"
999999030,IMPORT EXPORT ΙΩΑΝΝΗΣ Π ΑΕΡΑΚΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ 131,17236 ΑΓ ΔΗΜΗΤΡΙΟΣ,"193.998,02",-,"105.147,57","299.145,59",-,-,-,.,"(37.94380100000001, 23.7407922)"
999915490,MULTIVISION ENTERTAINMENT ΕΜΠΟΡΙΑ ΚΑΣΣΕΤΩΝ VIDEO DVD ΚΑΙ ΗΛΕΚΤΡΟΝΙΚΩΝ ΠΑΙΓΝΙΔΙΩΝ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕ,Λ ΠΑΠΑΓΟΥ 96,15772 ΖΩΓΡΑΦΟΥ,"154.277,28",-,"144.837,56","299.114,84",-,-,-,.,"(37.9770617, 23.7720683)"
999992598,ΟΚΤΑΦΑΡΜΑ ΕΛΛΑΣ ΑΝΩΝΥΜΗ ΦΑΡΜΑΚΕΥΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΔΗΜΗΤΡΙΟΥ ΓΟΥΝΑΡΗ 78,16561 ΓΛΥΦΑΔΑ,"257.694,17",-,"41.385,68","299.079,85",-,-,-,.,"(37.8850529, 23.7619356)"
81371412,ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ ΣΤΑΘΗΣ ΝΙΚ ΣΙΑ ΟΕ,ΛΕΩΦ ΚΩΝ ΚΑΡΑΜΑΝΛΗ 14,16673 ΒΟΥΛΑ,"150.066,57",-,"148.985,23","299.051,80",-,-,-,.,"(37.8293608, 23.7727309)"
81724824,ΠΛΙΑΓΚΑ ΑΦΟΙ ΟΕ,ΛΑΓΚΑΔΑ 20,54630 ΘΕΣΣΑΛΟΝΙΚΗ,"191.222,90",-,"107.809,39","299.032,29",-,-,-,.,"(40.64306759999999, 22.9356186)"
99394126,Β ΤΑΡΑΝΤΙΛΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΠΑΝΟΡΑΜΑ ΚΟΥΤΣΟΠΟΔΙΟΥ 0,21200 ΑΡΓΟΣ,"156.598,54",-,"142.387,15","298.985,69",-,-,-,.,"(37.6815139, 22.6868852)"
94342128,ΒΙΜΕΛΙΑ ΑΝΩΝ ΕΤΑΙΡ ΕΜΠΟΡ ΔΙΑΝΟΜ ΠΟΤΩΝ ΤΡΟΦΙΜΩΝ,Μ ΨΕΛΛΟΥ Β ΚΟΡΝΑΡΟ 14,54655 ΘΕΣΣΑΛΟΝΙΚΗ,"177.346,94",-,"121.573,95","298.920,89",-,-,-,.,"(40.5917404, 22.961768)"
999444281,ΛΟΥΠΑΣΑΚΗΣ ΟΙΚΟΔΟΜΙΚΗ ΕΜΠΟΡΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΚΟΥΝΟΥΠΙΔΙΑΝΑ Λ ΚΑΖΑΝΤΖΑΚΗ 13,73100 ΧΑΝΙΑ,"234.743,33",-,"64.013,96","298.757,29",-,-,-,.,"(35.50548089999999, 24.0033504)"
997158662,EROS TRADING LTD,ΑΝΑΞΑΓΟΡΑ 6-8,10010 ΑΘΗΝΑ,-,"277.531,43","20.976,80","298.508,23",-,-,-,.,"(37.9824098, 23.7259062)"
998217916,ΑΙΚΑΤΕΡΙΝΗ ΣΥΖΥΓΟΣ ΓΕΩΡΓΙΟΥ ΖΩΓΡΑΦΑΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΖΥΜΒΡΑΚΑΚΗΔΩΝ 20,73135 ΧΑΝΙΑ,"190.681,83",-,"107.727,67","298.409,50",-,-,-,.,"(35.5106678, 24.0174515)"
81843782,ΗΛΕΙΑΚΗ ΑΘΗΝΩΝ   ΑΦΟΙ   ΚΟΤΣΙΑΝΑ ΚΑΙ ΣΙΑ  Ο Ε,ΚΗΦΙΣΣΟΥ 91,12241 ΑΙΓΑΛΕΩ,"171.634,03",-,"126.772,80","298.406,83",-,-,-,.,"(37.982554, 23.6826034)"
93804422,ΧΡΗΣΤΟΣ ΦΤΑΚΑΣ ΚΑΙ ΣΙΑ ΕΕ,ΕΙΡΗΝΗΣ  ΒΑΛΤΑΔΩΡΩΝ 1,50100 ΚΟΖΑΝΗ,-,-,-,-,"158.006,87","140.393,02","298.399,89",.,"(40.3009715, 21.7873071)"
801325562,ΤΖΕΜΟ ΜΟΝΟΠΡΟΣΩΠΗ Ι Κ Ε,ΝΟΤΑΡΑ 34,18531 ΠΕΙΡΑΙΑΣ,"252.869,23",-,"45.499,28","298.368,51",-,-,-,.,"(37.9447069, 23.6465941)"
84105140,ΧΡΗΣΤΟΣ ΧΑΤΖΗΣ ΚΑΙ ΣΙΑ ΟΕ ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ,ΠΑΡΑΔΕΙΣΟΥ 26,15125 ΜΑΡΟΥΣΙ,"175.545,94",-,"122.803,45","298.349,39",-,-,-,.,"(38.0330003, 23.8015719)"
800526466,ΚΑΤΕΡΙΝΑ ΕΙΣΑΓΩΓΕΣ ΕΞΑΓΩΓΕΣ ΕΜΠΟΡΙΑ ΑΓΡΟΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,Θ 10-12,18233 ΑΓ Ι ΡΕΝΤΗΣ,"220.999,29",-,"77.153,01","298.152,30",-,-,-,.,"(37.961807, 23.6747575)"
84260430,Κ ΑΣΗΜΑΚΗΣ ΚΑΙ ΣΙΑ ΕΕ,Γ ΠΑΠΑΝΔΡΕΟΥ 72,15772 ΖΩΓΡΑΦΟΥ,"153.720,32",-,"144.424,85","298.145,17",-,-,-,.,"(37.9832408, 23.7711016)"
800376921,ΚΑΤΣΙΑΡΑΣ ΠΑΝΑΓ ΚΑΙ ΣΙΑ ΕΕ,ΛΕΩΦΟΡΟΣ ΚΥΠΡΟΥ 155,16451 ΑΡΓΥΡΟΥΠΟΛΗ,"72.179,04","78.003,18","147.888,88","298.071,10",-,-,-,.,"(37.901199, 23.756144)"
997817832,ΒΑΝΑΒΑΚΗΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΕ,ΝΑΥΜ ΕΛΛΗΣ 3,81100 ΜΥΤΙΛΗΝΗ,"170.072,83",-,"127.929,54","298.002,37",-,-,-,.,"(39.1124222, 26.5584242)"
95425048,Φ ΤΣΑΦΟΥ  ΚΑΙ  ΥΙΟΙ Ε.Π.Ε,ΣΟΛΩΜΟΥ 52,12133 ΠΕΡΙΣΤΕΡΙ,"193.632,85",-,"104.348,25","297.981,10",-,-,-,.,"(38.0149588, 23.7080106)"
93501171,Θ ΜΑΖΗΣ  ΚΑΙ ΣΙΑ ΕΕ,ΚΡΑΝΙΔΙ  ΥΠΟΓΕΙΟ 0,21300 ΚΡΑΝΙΔΙ,"190.218,89",-,"107.745,77","297.964,66",-,-,-,.,"(37.3805109, 23.1602123)"
94176306,ΧΑΤΖΗΝΙΚΗΤΑΣ ΜΙΧΑΗΛ ΑΕ,ΠΟΡΣΕΛΑΝΕΣ 0,85300 ΚΩΣ,-,-,-,-,"204.959,88","92.681,63","297.641,51",.,"(36.8925871, 27.2877926)"
81831863,ΥΙΟΙ ΠΑΝΑΓ ΧΑΤΖΗΠΑΥΛΗ ΟΕ   ΣΕ ΕΚΚΑΘΑΡΙΣΗ,17 ΑΘΗΝΩΝ ΛΑΜΙΑΣ ΚΑΙ ΚΗΦΙΣΟΥ 65,14564 ΚΗΦΙΣΙΑ,"154.738,20",-,"142.785,99","297.524,19",-,-,-,.,"(38.1004066, 23.8068367)"
97092270,ΚΩΝ ΚΑΙ ΣΠΥΡ ΘΕΟΦΙΛΗΣ ΑΝΩΝΥΜΟΣ,ΦΙΛΕΛΛΗΝΩΝ 10,27200 ΑΜΑΛΙΑΔΑ,-,-,-,-,"194.482,65","102.993,82","297.476,47",.,"(37.795543, 21.3513594)"
95411542,ΠΡΟΤΥΠΟ ΕΠΕ,5 ΧΙΛ ΗΡΑΚΛ ΜΟΙΡΩΝ 0,71500 ΗΡΑΚΛΕΙΟ,"171.967,52",-,"125.502,10","297.469,62",-,-,-,.,"(35.3099363, 25.157504)"
999920070,Ε ΠΑΡΩΝΗ Π ΠΑΝΤΗ ΟΕ,Ι ΔΡΟΣΟΠΟΥΛΟΥ  ΚΑΙ ΑΓ ΜΕΛΕΤΙΟΥ 47,11257 ΑΘΗΝΑ,"157.319,73",-,"140.046,97","297.366,70",-,-,-,.,"(37.9998582, 23.7347043)"
999991135,REGULON ΓΟΝΙΔΙΑΚΗ ΑΝΩΝΥΜΗ ΦΑΡΜΑΚΕΥΤΙΚΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ,ΓΡΗΓ ΑΥΞΕΝΤΙΟΥ 7,17455 ΑΛΙΜΟΣ,"202.794,43",-,"94.484,19","297.278,62",-,-,-,.,"(37.9133708, 23.7103407)"
998939415,ΜΕΡΜΗΓΚΑΣ ΕΜΠΟΡΙΑ ΤΥΠΟΠΟΙΗΜΕΝΩΝ ΤΡΟΦΙΜΩΝ ΕΙΔΩΝ ΚΑΘΑΡΙΟΤΗΤΑΣ ΕΜΠΟΡΙΑ ΚΑΙ ΕΠΕΞΕΡΓΑΣΙΑ ΧΑΡΤΟΥ ΑΝΩΝΥΜΗ Ε,ΒΑΡΗΣ   ΚΟΡΩΠΙΟΥ 20,16672 ΒΑΡΗ,"216.937,47",-,"80.232,87","297.170,34",-,-,-,.,"(37.9011442, 23.8726503)"
82232840,Σ ΑΥΛΩΝΙΤΗΣ Π ΦΑΡΑΩΝΗΣ ΕΡΓΑΣΤΗΡΙΟ ΕΛΕΥΘΕΡΩΝ ΣΠΟΥΔΩΝ ΟΕ,ΒΑΣΙΛ ΚΩΝΣΤΑΝΤΙΝΟΥ 5-7,10674 ΑΘΗΝΑ,"192.951,80",-,"104.081,18","297.032,98",-,-,-,.,"(37.9706072, 23.7405495)"
997776372,AMBERAL TRADING LIMITED,ΓΕΡΑΚΑ 31 ΧΙΟΥ 0,15344 ΓΕΡΑΚΑΣ,-,-,-,-,"155.530,34","141.479,32","297.009,66",.,"(38.014544, 23.8580333)"
800746162,ΗΛΕΚΤΡΟ ΣΜΑΡΤ ΜΟΝ ΕΠΕ ΕΜΠΟΡΙΑΣ ΗΛΕΚΤΡΟΛΟΓΙΚΟΥ ΜΗΧΑΝΟΛΟΓΙΚΟΥ ΚΑΙ ΨΥΚΤΙΚΟΥ ΥΛΙΚΟΥ ΚΑΙ ΗΛΕΚΤΡΟΛΟΓΙΚΩΝ Ε,ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 5,16346 ΗΛΙΟΥΠΟΛΗ,"243.255,39",-,"53.706,14","296.961,53",-,-,-,.,"(37.929738, 23.7454822)"
999377147,ΥΠΟ ΕΚΚΑΘΑΡΙΣΗ ΑΦΟΙ  ΜΑΝΟΥΣΟΥ  ΟΕ,ΑΝΘΕΜΙΟΥ 1,26442 ΠΑΤΡΑ,"181.546,19",-,"115.385,27","296.931,46",-,-,-,.,"(38.2646242, 21.7474204)"
82495744,ΠΑΠΑΔΟΠΟΥΛΟΥ Μ  ΠΑΠΑΔΟΠΟΥΛΟΥ Ε ΟΕ,7ΧΛΜ ΘΕΣ ΩΡΑΙΟΚ 0,57013 ΩΡΑΙΟΚΑΣΤΡΟ,"187.409,20",-,"109.474,56","296.883,76",-,-,-,.,"(40.7285713, 22.9184161)"
96240906,ΑΝΑΓΚΑΣΤΙΚΟΣ ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΔΙΑ,ΚΑΡΥΕΣ ΠΙΕΡΙΑΣ 0,60100 ΚΑΤΕΡΙΝΗ,-,-,-,-,"157.128,55","139.711,85","296.840,40",.,"(40.2701244, 22.5059409)"
94509314,ΑΝΝΑ ΑΡΒΑΝΙΤΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕ,Ν ΖΕΡΒΟΥ 71,17675 ΚΑΛΛΙΘΕΑ,-,-,-,-,"178.552,73","117.917,83","296.470,56",.,"(37.9491855, 23.68917)"
800730190,T K AUTOTRANS ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,ΓΡΗΓΟΡΙΟΥ ΛΑΜΠΡΑΚΗ 360,18452 ΝΙΚΑΙΑ,-,-,-,-,"215.850,62","80.568,00","296.418,62",.,"(37.9781236, 23.6318792)"
998899321,ΤΣΑΓΚΑΡΑΚΗΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΙΑ ΕΤΕΡΟΡΡΥΘΜΟΣ ΕΤΑΙΡΙΑ INOXMETAL,ΠΛΑΚΟΥΡΙΑ 0,72200 ΙΕΡΑΠΕΤΡΑ,"155.165,09",-,"141.219,61","296.384,70",-,-,-,.,"(35.0459562, 25.7816019)"
95727628,DELI CONTI ΚΑΦΕ ΑΝΑΨΥΚΤΗΡΙΑ ΜΟ,ΑΡΔΗΤΟΥ 14,11636 ΑΘΗΝΑ,-,-,-,-,"184.435,56","111.904,51","296.340,07",.,"(37.9673489, 23.7350181)"
99857997,ΕΥΑΓΓΕΛΟΣ ΛΕΙΒΑΔΑΡΟΣ ΚΑΙ ΣΙΑ ΕΠΕ ΣΕ ΕΚΚΑΘΑΡΙΣΗ,ΠΑΥΛ  ΝΙΡΒΑΝΑ 12,18539 ΠΕΙΡΑΙΑΣ,"202.186,92",-,"94.144,01","296.330,93",-,-,-,.,"(37.9316985, 23.6279735)"
94450926,ΙΣΤΡΟΣ Α.Ε.Ε. ΣΥΣΤΗΜΑΤΩΝ ΘΕΡΜΑΝΣΗΣ & ΥΔΡΑΥΛΙΚΩΝ ΕΙΔΩΝ,ΚΟΛΕΤΗ 11,17342 ΑΓ ΔΗΜΗΤΡΙΟΣ,"197.894,54",-,"98.390,28","296.284,82",-,-,-,.,"(37.9296228, 23.7206054)"
99239728,ΑΦΟΙ ΤΑΠΑΝΑΡΗ ΟΕ,Κ ΝΕΥΡΟΚΟΠΙ 0,66033 Κ ΝΕΥΡΟΚΟΠΙ,"201.050,75",-,"95.233,29","296.284,04",-,-,-,.,"(41.34566220000001, 23.9060624)"
801147624,EXOLEM ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑ,ΤΑΤΟΙΟΥ 72,13671 ΑΧΑΡΝΕΣ,-,-,-,-,"249.153,24","47.117,97","296.271,21",.,"(38.0579718, 23.7554764)"
998019961,ΑΘ ΚΟΛΛΑΤΟΣ ΚΑΙ ΣΙΑ ΟΕ,ΟΛΥΜΠΟΥ 29,41221 ΛΑΡΙΣΑ,"227.535,78",-,"68.680,44","296.216,22",-,-,-,.,"(39.6401153, 22.4185725)"
998779396,ΜΙΧΑΛΑΚΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ  ΗΛΕΚΤΡΟΛΟΓΙΚΟΥ ΥΛΙΚΟΥ ΚΑΙ ΦΩΤΙΣΤΙΚΩΝ,ΑΙΣΧΥΛΟΥ ΚΑΙ ΕΛΛΟΠΙΑΣ 0,32100 ΛΕΙΒΑΔΙΑ,"190.345,20",-,"105.864,97","296.210,17",-,-,-,.,"(38.4387082, 22.8753993)"
99932603,ΕΥΤΥΧΙΑ ΑΘ ΚΑΡΑΒΙΔΑ ΚΑΙ ΣΙΑ ΟΕ,25ΗΣ ΜΑΡΤΙΟΥ ΤΕΡΜΑ 0,60100 ΚΑΤΕΡΙΝΗ,"154.369,38",-,"141.786,65","296.156,03",-,-,-,.,"(40.2644023, 22.5204929)"
94085629,Κ S ΕΛΛΑΣ ΑΕ,ΒΙΟΜΗΧ ΠΕΡΙΟΧΗ 0,69100 ΚΟΜΟΤΗΝΗ,"206.530,94",-,"89.508,05","296.038,99",-,-,-,.,"(41.1224394, 25.4065582)"
998686444,ΕΥΑΓΓΕΛΟΣ ΑΝΤΥΠΑΣ ΟΕ,ΚΟΛΟΚΟΤΡΩΝΗ 5,26221 ΠΑΤΡΑ,-,-,-,-,"168.804,64","127.231,61","296.036,25",.,"(38.2496116, 21.7362223)"
998161418,Α ΚΑΙ Ε ΚΛΑΨΙΝΟΥ ΟΕ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 20,74100 ΡΕΘΥΜΝΟ,-,-,-,-,"183.894,43","112.077,02","295.971,45",.,"(35.36583600000001, 24.4671363)"
999330173,TINE KOED FRAGKISKATOS ΚΑΙ ΣΙΑ ΕΕ,Λ ΠΟΣΕΙΔΩΝΟΣ 13,17456 ΑΛΙΜΟΣ,"150.947,41",-,"145.018,56","295.965,97",-,-,-,.,"(37.9158095, 23.7065226)"
92988939,ΠΑΡΑΣΚΕΥΗ ΠΑΠΑΙΩΑΝΝΟΥ ΚΑΙ ΣΙΑ Ο Ε Ε,ΤΥΜΦΡΗΣΤΟΥ 4Η ΠΑΡΟΔΟΣ 10,35100 ΛΑΜΙΑ,"155.155,24",-,"140.636,56","295.791,80",-,-,-,.,"(38.9069571, 22.4254466)"
94239475,ΒΕΡΝΙΤΑΛ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΒΙΟΜ,ΑΔΡΙΑΝΟΥ ΚΑΙ ΒΙΟΛΕΤΑΣ 0,13672 ΑΧΑΡΝΕΣ,-,-,-,-,"154.864,68","140.919,40","295.784,08",.,"(37.9748899, 23.7264535)"
99565939,Γ ΚΟΥΤΕΛΙΕΡΗΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,ΜΑΡΑΘΙ ΠΑΡΟΥ 0,84400 ΠΑΡΟΣ,"213.249,34",-,"82.521,64","295.770,98",-,-,-,.,"(37.0845342, 25.1954832)"
998539419,ΙΩΑΝΝΗΣ ΡΕΤΣΙΝΑΣ ΚΑΙ ΣΙΑ ΟΕ,Ι ΚΑΤΣΑ ΚΑΙ ΚΟΥΜΟΥΝΔΟΥΡΟΥ 0,18010 ΑΙΓΙΝΑ,"159.435,49",-,"136.189,76","295.625,25",-,-,-,.,"(37.7467498, 23.4286471)"
99370755,ΚΑΦΕΖΑΧΑΡΟΠΛΑΣΤΕΙΑ ΠΕΝΤΕΛΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,ΑΛΕΞΑΝΔΡΑΣ 217,11523 ΑΘΗΝΑ,"200.455,54",-,"95.127,97","295.583,51",-,-,-,.,"(37.9870319, 23.7600211)"
998849944,TRAVEL CITY ΞΕΝΟΔΟΧΕΙΑΚΕΣ ΤΟΥΡΙΣΤΙΚΕΣ ΕΜΠΟΡΙΚΕΣ ΕΠΙΧΕΙΡΗΣΕΙΣ ΕΠΕ,ΠΑΝΕΠΙΣΤΗΜΙΟΥ  ΙΣΟΓΕΙΟ 39,10564 ΑΘΗΝΑ,"187.386,30",-,"108.169,83","295.556,13",-,-,-,.,"(37.9798823, 23.733325)"
997585101,Α ΣΑΒΒΙΔΗΣ ΑΦΟΙ ΠΟΛΥΧΡΟΝΗ ΚΑΙ,ΕΝΤΟΣ ΠΛΑΤΕΙΑΣ ΣΥΝΤΑΓΜΑΤΟΣ 0,10563 ΑΘΗΝΑ,-,-,-,-,"188.962,21","106.512,46","295.474,67",.,"(37.975042, 23.7340958)"
999695463,ΕΣΚΙΜΩ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩ,ΦΩΤΟΠΟΥΛΟΥ 3,12462 ΧΑΙΔΑΡΙ,-,-,-,-,"231.818,55","63.481,69","295.300,24",.,"(38.0195569, 23.6453741)"
999405490,ΚΩΝ ΚΑΚΑΒΕΛΑΚΗΣ ΚΑΙ ΣΙΑ ΟΕ,ΣΟΦΟΚΛΕΟΥΣ 1 Α,20100 ΚΟΡΙΝΘΟΣ,"156.965,81",-,"138.255,44","295.221,25",-,-,-,.,"(37.9340367, 22.9261229)"
999070659,ΜΑΡΙΕΛΕΝΗ ΦΙΟΡΕΤΖΗ  ΓΕΩΡΓΙΟΣ Κ,ΙΩΣΗΦ ΚΟΥΝΔΟΥΡΟΥ 6,72100 ΑΓ ΝΙΚΟΛΑΟΣ,-,-,-,-,"219.906,37","75.244,40","295.150,77",.,"(35.1911967, 25.7205204)"
999636950,MANCO ΠΛΗΡΟΦΟΡΙΚΗ ΑΕΒΕ,ΝΙΚΗΣ 18,15123 ΜΑΡΟΥΣΙ,"156.405,84",-,"138.604,87","295.010,71",-,-,-,.,"(38.0324123, 23.7824804)"
95736625,ΕΚΜΕΤΑΛΕΥΣΗ ΕΣΤΙΑΤΟΡΙΩΝ ΚΑΙ ΚΕ,ΛΑΣΙΘΙΟΥ 77,16674 ΓΛΥΦΑΔΑ,-,-,-,-,"158.289,31","136.697,48","294.986,79",.,"(37.8708943, 23.7689036)"
94311489,ΑΝΑΠΤΥΞΙΑΚΗ ΜΕΛΕΤΗΤΙΚΗ ΚΑΤΑΣΚΕΥΑΣΤΙΚΗΕΤΑΙΡΕΙΑ ΑΕ,ΚΑΠΟΔΙΣΤΡΙΟΥ 15,42100 ΤΡΙΚΑΛΑ,"151.557,36",-,"143.377,64","294.935,00",-,-,-,.,"(39.5523774, 21.7671021)"
801330707,WORLD STARS ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΚΤΗ ΜΙΑΟΥΛΗ 7-9,18535 ΠΕΙΡΑΙΑΣ,"245.409,97",-,"49.506,57","294.916,54",-,-,-,.,"(37.9428365, 23.6434486)"
99467111,ΠΑΝΑΓΙΩΤΗΣ ΦΟΥΡΝΑΡΑΚΗΣ ΚΑΙ ΣΙΑ ΕΕ,ΜΙΑΟΥΛΗ 11,10554 ΑΘΗΝΑ,"202.552,81",-,"92.308,06","294.860,87",-,-,-,.,"(37.97744230000001, 23.7253271)"
93387124,ΓΑΛΑΤΑ ΚΟΖΑΝΗΣ ΙΚΕ,6 ΧΙΛ ΚΟΖΑΝΗΣ ΚΑΣΤΟΡΙΑΣ 0,50100 ΚΟΖΑΝΗ,"231.267,82",-,"63.432,14","294.699,96",-,-,-,.,"(40.3050792, 21.7855755)"
998509869,ΤΙΚΕΤΣ ΓΚΟΟΥ ΟΝ ΕΚΔΟΣΗ ΕΙΣΙΤΗΡΙΩΝ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΛΙΜΑΝΙ ΡΑΦΗΝΑΣ 0,19009 ΡΑΦΗΝΑ,"194.617,53",-,"100.005,02","294.622,55",-,-,-,.,"(38.0160965, 24.0148329)"
998891231,ΚΕΝΤΡΟ ΑΠΟΘΕΡΑΠΕΙΑΣ ΑΠΟΚΑΤΑΣΤΑ,ΝΙΚΑΙΑ 0,41005 ΝΙΚΑΙΑ ΛΑΡΙΣΑΣ,-,-,-,-,"218.404,75","76.070,85","294.475,60",.,"(37.9746194, 23.6412944)"
91698207,Ν ΝΕΔΟΣ ΚΑΙ ΣΙΑ ΟΕ,Γ ΠΑΠΑΝΔΡΕΟΥ 28,62123 ΣΕΡΡΕΣ,"196.084,23",-,"98.110,16","294.194,39",-,-,-,.,"(41.0865612, 23.5493902)"
998312700,ΑΝΑΣΤΑΣΙΑ ΝΙΚ ΡΟΥΣΣΟΥ ΜΟΝΟΠΡΟΣ,ΠΕΡΣΕΦΟΝΗΣ 63,11854 ΑΘΗΝΑ,-,-,-,-,"218.301,05","75.859,59","294.160,64",.,"(37.9786982, 23.710079)"
94159635,ΠΑΝΑΓΙΩΤΗΣ ΚΑΙ ΤΖΑΝΗΣ ΖΟΥΓΑΝΕΛΗΣ ΑΝΩΝΥΜΟΣ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΤΟΥΡΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ,ΑΜΑΛΙΑΔΟΣ 17,11523 ΑΘΗΝΑ,"222.456,18",-,"71.655,07","294.111,25",-,-,-,.,"(37.9884186, 23.7591457)"
800772340,ΖΟΗ ΖΩΟΤΡΟΦΙΚΟΣ ΟΜΙΛΟΣ ΗΡΑΚΛΕΙ,ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΜΕΛΙΔΟΧΩΡΙΟΥ ΘΕΣΗ ΣΦΑΚΑΚΙ 0,70010 ΠΥΡΓΟΣ ΜΟΝΟΦ,-,-,-,-,"213.236,31","80.811,71","294.048,02",.,"(35.0086682, 25.155807)"
999345727,Ν ΚΑΙ Δ ΜΑΚΡΗΣ Ο Ε,ΓΟΥΝΑΡΙ 0,23100 ΣΠΑΡΤΗ,"154.881,55",-,"139.110,66","293.992,21",-,-,-,.,"(37.0369702, 22.4235845)"
999694024,GRECOLIO ΓΕΝΙΚΟ ΕΜΠΟΡΙΟ ΕΤΑΙΡΕ,ΑΓ ΚΩΝΣΤΑΝΤΙΝΟΥ 52,15124 ΜΑΡΟΥΣΙ,-,-,-,-,"185.847,57","108.114,69","293.962,26",.,"(38.0462744, 23.8063074)"
